"","Acct","days_from_CO_appro_to_issue","days_from_CO_appro_to_issue_scaled","count_COs","count_COs_scaled","days_since_issue","days_since_issue_scaled","CO_type","CO_sqft","CO_sqft_scaled","occupancy","CO_code_distr"
"1636","00000631918750000",352,0.366337638879056,1,0.38448812847302,611,5.86216070534179,2,4882,0.0670388491812699,4,3
"1637","00000632036500000",161,0.167557840510023,3,1.15346438541906,378,3.62667225305924,2,133136,1.82820242208061,26,3
"1638","00000632374000000",16,0.0166517108581389,1,0.38448812847302,443,4.25030637064879,2,6161,0.0846018741920942,21,3
"1639","00000632425000000",NA,NA,2,0.768976256946041,596,5.7182451397442,2,2160,0.0296607771879441,NA,3
"1640","00000632758000000",0,0,2,0.768976256946041,381,3.65545536617876,3,NA,NA,21,5
"1641","00000633574000000",3839,3.99536987402471,1,0.38448812847302,385,3.69383285033812,2,200,0.00274636825814297,20,3
"1642","00000633607000000",1,0.00104073192863368,1,0.38448812847302,533,5.11379976423433,2,4270,0.0586349623113524,7,3
"1643","00000633643000000",275,0.286201280374263,2,0.768976256946041,499,4.78759114887979,2,27145,0.372750831836455,7,3
"1644","00000633652000000",3,0.00312219578590105,3,1.15346438541906,498,4.77799677783995,2,2900,0.0398223397430731,4,3
"1645","00000633670000000",8,0.00832585542906946,1,0.38448812847302,533,5.11379976423433,2,11250,0.154483214520542,7,3
"1646","00000633679000000",67,0.0697290392184568,1,0.38448812847302,396,3.79937093177635,2,2249,0.0308829110628177,7,3
"1647","00000633682000000",67,0.0697290392184568,1,0.38448812847302,396,3.79937093177635,2,2249,0.0308829110628177,7,3
"1648","00000633688000000",1,0.00104073192863368,2,0.768976256946041,632,6.06364249717842,2,3505,0.0481301037239556,7,3
"1649","00000633691000000",1,0.00104073192863368,2,0.768976256946041,632,6.06364249717842,2,3505,0.0481301037239556,7,3
"1650","00000633694000000",1,0.00104073192863368,3,1.15346438541906,520,4.98907294071642,2,4899,0.0672722904832121,26,3
"1651","00000633694000100",1,0.00104073192863368,1,0.38448812847302,520,4.98907294071642,2,4899,0.0672722904832121,26,3
"1652","00000633694000200",15,0.0156109789295052,2,0.768976256946041,458,4.39422193624638,2,5625,0.0772416072602711,26,3
"1653","00000633697000000",15,0.0156109789295052,1,0.38448812847302,458,4.39422193624638,2,5625,0.0772416072602711,26,3
"1654","00000633715000000",7,0.00728512350043578,1,0.38448812847302,571,5.47838586374822,2,5800,0.0796446794861462,26,3
"1655","00000633718000000",7,0.00728512350043578,1,0.38448812847302,571,5.47838586374822,2,5800,0.0796446794861462,26,3
"1656","00000633724000000",15,0.0156109789295052,1,0.38448812847302,623,5.97729315781986,2,5250,0.072092166776253,26,3
"1657","00000633727000000",15,0.0156109789295052,1,0.38448812847302,623,5.97729315781986,2,5250,0.072092166776253,26,3
"1658","00000633730000000",15,0.0156109789295052,1,0.38448812847302,623,5.97729315781986,2,5250,0.072092166776253,26,3
"1659","00000633760000000",5,0.00520365964316842,1,0.38448812847302,660,6.33228488629392,2,10000,0.137318412907149,26,3
"1660","00000633775000000",214,0.222716632727608,1,0.38448812847302,381,3.65545536617876,2,2000,0.0274636825814297,2,3
"1661","00000633817000000",123,0.128010027221943,1,0.38448812847302,444,4.25990074168863,2,16,0.000219709460651438,2,3
