"","Shape_STAr","Shape_STLe","Acct","count_of_311"
"235",4000.00390625,280.000151312,"00000125392000000",1.38804776650029
"236",4043.7890625,366.829500807,"00000159331000000",1.38804776650029
"237",4125.4453125,267.714765627,"00748700100920000",1.38804776650029
"238",4198.28515625,285.100319769,"00676400051250000",1.38804776650029
"239",4256.98632813,286.286362427,"00676400051260000",1.38804776650029
"240",4274.80859375,286.58040978,"00676400051240000",1.38804776650029
"241",4289.45507813,330.708165665,"00000607011160000",1.38804776650029
"242",4318.99511719,333.679119037,"00000607010380100",1.38804776650029
"243",4345.59277344,334.2495895,"00000607010420000",1.38804776650029
"244",4438.32617188,332.901777667,"00000606908220100",1.38804776650029
"245",4463.30273438,333.836354339,"00000607011180000",1.38804776650029
"246",4513.26953125,340.102210347,"00000607010000100",1.38804776650029
"247",4516.92578125,334.884524926,"00000607011180100",1.38804776650029
"248",4518.65332031,314.914012094,"00000143653000000",1.38804776650029
"249",4552.44238281,282.634924216,"00000155968000000",1.38804776650029
"250",4583.41503906,339.080350691,"00000606906460100",1.38804776650029
"251",4630.90136719,334.746225902,"00000607011140000",1.38804776650029
"252",4632.19238281,319.580972611,"00000143650000000",1.38804776650029
"253",4639.77636719,341.621754946,"00000606906240100",1.38804776650029
"254",4668.53515625,340.743578342,"00000606906540000",1.38804776650029
"255",4761.08007813,337.513338504,"00000606908220000",1.38804776650029
"256",4877.19433594,343.732851336,"00000606906520100",1.38804776650029
"257",4915.60253906,367.869245193,"00000606905040000",1.38804776650029
"258",4966.4296875,344.87727991,"00000606906480000",1.38804776650029
"259",4994.25097656,321.54733862,"00000809779610000",1.38804776650029
"260",4998.76757813,299.950457122,"00689800190050000",1.38804776650029
"261",4999.2421875,299.970082421,"00689800190040000",1.38804776650029
"262",4999.84277344,299.997467241,"00713500JJ0340000",1.38804776650029
"263",4999.96972656,299.998962771,"00713500JJ0320000",1.38804776650029
"264",5009.84765625,341.671559724,"00000606908200000",1.38804776650029
"265",5017.70214844,368.964081622,"00000606905020100",1.38804776650029
"266",5033.70019531,301.349103834,"00713500GG0290000",1.38804776650029
"267",5049.87304688,300.997516443,"00713500JJ0330000",1.38804776650029
"268",5078.98339844,303.159538744,"00713500LL0150000",1.38804776650029
"269",5079.00976563,303.160043111,"00713500LL0160000",1.38804776650029
"270",5142.30957031,303.659665004,"00713500GG0280000",1.38804776650029
"271",5188.02636719,371.805671686,"00000606905080000",1.38804776650029
"272",5188.63867188,372.134476977,"00000606905120100",1.38804776650029
"273",5315.99023438,345.828859533,"00611600050400000",1.38804776650029
"274",5331.16015625,316.346224962,"00000219211000000",1.38804776650029
"275",5381.328125,348.978921397,"00611600050410000",1.38804776650029
"276",5428.58300781,355.415960985,"00000690955000000",1.38804776650029
"277",5452.29003906,326.255727943,"00000255121000000",1.38804776650029
"278",5453.56152344,318.419093589,"00000219208000000",1.38804776650029
"279",5499.9921875,309.99975126,"00000182551000000",1.38804776650029
"280",5524.92578125,320.64542351,"00000182632000000",1.38804776650029
"281",5584.66015625,322.443488746,"00689800220060000",1.38804776650029
"282",5747.78710938,329.911233713,"008806000H0040000",1.38804776650029
"283",5749.68359375,329.986897361,"008806000H0050000",1.38804776650029
"284",5751.56054688,330.062553181,"008806000H0060000",1.38804776650029
"285",5816.7265625,336.798456132,"00000685522000000",1.38804776650029
"286",5857.86523438,337.412533409,"00000685525000000",1.38804776650029
"287",5859.39160156,356.590886161,"00000191248000000",1.38804776650029
"288",5886.60839844,333.405582288,"00000255118000000",1.38804776650029
"289",5888.47070313,336.822311832,"00667700020450000",1.38804776650029
"290",5918.546875,323.239967276,"00000360952000000",1.38804776650029
"291",5966.85351563,324.310400891,"00000360949000000",1.38804776650029
"292",5993.87011719,335.388943368,"00689800220050000",1.38804776650029
"293",6016.6953125,348.543883317,"00000256927000000",1.38804776650029
"294",6040.078125,343.884729742,"00000180652000000",1.38804776650029
"295",6043.87792969,352.772085103,"00000148408000000",1.38804776650029
