"","Acct","Permit_Type","PermitDate","Mapsco","Permit_Date","Count_Permits","Days_Since_Permit"
"5311","007462000G98A0000","Building (BU) Single Family  Addition","2018/10/10 00:00:00","15-Z",2018-10-10,1,906
"5312","00000677278000000","Building (BU) Single Family  Addition","2018/08/06 00:00:00","44-K",2018-08-06,1,971
"5313","00000677281000000","Building (BU) Single Family  Addition","2018/08/06 00:00:00","44-K",2018-08-06,1,971
"5314","002981000111B0000","Building (BU) Single Family  Addition","2018/08/08 00:00:00","36-V",2018-08-08,1,969
"5315","00000246196000000","Building (BU) Single Family  Addition","2018/08/08 00:00:00","36-V",2018-08-08,2,969
"5316","00000424738000000","Building (BU) Single Family  Addition","2018/08/10 00:00:00","25-W",2018-08-10,1,967
"5317","00000424735000000","Building (BU) Single Family  Addition","2018/08/10 00:00:00","25-W",2018-08-10,1,967
"5318","00000590938000000","Building (BU) Single Family  Addition","2018/08/09 00:00:00","23-G",2018-08-09,1,968
"5319","00000591406000000","Building (BU) Single Family  Addition","2018/08/09 00:00:00","23-G",2018-08-09,1,968
"5320","00000591409000000","Building (BU) Single Family  Addition","2018/08/09 00:00:00","23-G",2018-08-09,1,968
"5321","00000797299000000","Building (BU) Single Family  Addition","2018/08/10 00:00:00","6-W",2018-08-10,2,967
"5322","00000797302000000","Building (BU) Single Family  Addition","2018/08/10 00:00:00","6-W",2018-08-10,1,967
"5323","00000797314000000","Building (BU) Single Family  Addition","2018/08/10 00:00:00","6-W",2018-08-10,2,967
"5324","00000797311000000","Building (BU) Single Family  Addition","2018/08/10 00:00:00","6-W",2018-08-10,1,967
"5325","00000175441000000","Building (BU) Single Family  Addition","2018/08/13 00:00:00","46-Z",2018-08-13,1,964
"5326","00000175444000000","Building (BU) Single Family  Addition","2018/08/13 00:00:00","46-Z",2018-08-13,1,964
"5327","00000773260000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","58-Y",2018-08-16,1,961
"5328","00000773263000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","58-Y",2018-08-16,1,961
"5329","00000187414000000","Building (BU) Single Family  Addition","2018/08/22 00:00:00","36-S",2018-08-22,1,955
"5330","00000187411000000","Building (BU) Single Family  Addition","2018/08/22 00:00:00","36-S",2018-08-22,1,955
"5331","00000404308000000","Building (BU) Single Family  Addition","2018/08/15 00:00:00","26-J",2018-08-15,1,962
"5332","00000404305000000","Building (BU) Single Family  Addition","2018/08/15 00:00:00","26-J",2018-08-15,1,962
"5333","00000404359000000","Building (BU) Single Family  Addition","2018/08/15 00:00:00","26-J",2018-08-15,1,962
"5334","00000404362000000","Building (BU) Single Family  Addition","2018/08/15 00:00:00","26-J",2018-08-15,1,962
"5335","00000371767000000","Building (BU) Single Family  Addition","2018/08/13 00:00:00","37-V",2018-08-13,1,964
"5336","00000371428000000","Building (BU) Single Family  Addition","2018/08/16 00:00:00","37-Y",2018-08-16,1,961
"5337","00000387733000000","Building (BU) Single Family  Addition","2018/08/15 00:00:00","39-E",2018-08-15,1,962
"5338","00000521650000000","Building (BU) Single Family  Addition","2018/08/14 00:00:00","23-R",2018-08-14,1,963
"5339","00000521647000000","Building (BU) Single Family  Addition","2018/08/14 00:00:00","23-R",2018-08-14,1,963
"5340","00000777625000000","Building (BU) Single Family  Addition","2018/08/28 00:00:00","34-W",2018-08-28,1,949
"5341","00000777628000000","Building (BU) Single Family  Addition","2018/08/28 00:00:00","34-W",2018-08-28,1,949
"5342","00000282691000000","Building (BU) Single Family  Addition","2018/08/10 00:00:00","55-S",2018-08-10,1,967
"5343","00000282688000000","Building (BU) Single Family  Addition","2018/08/10 00:00:00","55-S",2018-08-10,1,967
